date,open,high,low,close,volume
2023-11-07,879.83,901.45,877.0,898.19,57087
2023-11-08,902.94,912.83,899.31,911.77,68947
2023-11-09,913.12,929.395,908.79,911.45,58843
2023-11-10,920.14,958.775,919.81,957.98,85803
2023-11-13,948.96,951.73,940.905,946.92,58739
2023-11-14,960.62,976.76,959.19,973.81,53482
2023-11-15,979.45,980.62,967.48,976.09,38408
2023-11-16,961.63,968.415,950.82,959.13,88869
2023-11-17,956.775,983.69,952.05,977.77,91341
2023-11-20,974.61,999.7,974.61,996.15,63565
2023-11-21,974.69,989.87,972.77,981.6,162513
2023-11-22,984.23,987.29,971.23,971.87,112432
2023-11-24,974.76,979.405,966.76,977.5,79657
2023-11-27,976.67,980.96,950.51,950.52,236612
2023-11-28,939.74,949.975,934.94,946.59,154377
2023-11-29,949.78,959.0,939.665,940.63,117433
2023-11-30,941.67,941.67,918.98,926.325,161903
2023-12-01,922.96,933.66,908.0,929.85,108936
2023-12-04,922.68,930.475,916.9,923.12,95876
2023-12-05,910.56,917.17,906.18,913.43,131643
2023-12-06,920.97,920.97,903.25,903.7,93016
2023-12-07,905.905,924.115,904.68,920.37,114571
2023-12-08,928.25,950.53,910.66,944.04,211117
2023-12-11,956.56,1039.28,956.56,1029.355,294783
2023-12-12,1025.0,1079.18,1025.0,1071.95,223163
2023-12-13,1067.0,1098.11,1064.42,1090.035,184560
2023-12-14,1092.9,1121.03,1091.665,1106.05,144792
2023-12-15,1096.86,1149.65,1096.86,1128.93,174277
2023-12-18,1120.08,1151.195,1119.305,1147.12,136113
2023-12-19,1141.69,1149.91,1133.17,1139.98,83996
2023-12-20,1131.19,1141.36,1109.86,1110.61,94025
2023-12-21,1134.37,1134.37,1115.0,1126.9,77141
2023-12-22,1125.08,1128.94,1114.68,1122.07,39958
2023-12-26,1124.82,1134.99,1124.715,1132.37,29314
2023-12-27,1135.5,1137.82,1124.39,1126.57,31808
2023-12-28,1131.39,1131.39,1120.45,1122.26,47002
2023-12-29,1120.365,1124.245,1115.3,1116.94,42170
2024-01-02,1090.76,1100.315,1077.31,1086.4,128007
2024-01-03,1067.44,1073.47,1056.45,1058.54,91475
2024-01-04,1057.45,1068.97,1047.89,1048.44,69625
2024-01-05,1050.23,1055.16,1041.73,1048.59,76073
2024-01-08,1055.53,1077.14,1053.35,1075.0,79227
2024-01-09,1071.47,1088.07,1065.52,1082.71,63793
2024-01-10,1079.985,1081.125,1062.88,1080.26,68222
2024-01-11,1091.67,1101.22,1075.11,1100.1,86309
2024-01-12,1110.03,1115.23,1100.01,1107.42,72664
2024-01-16,1114.24,1125.54,1098.97,1115.31,78621
2024-01-17,1108.33,1108.33,1091.085,1104.42,57657
2024-01-18,1124.225,1146.455,1124.225,1143.91,147842
2024-01-19,1159.71,1216.33,1159.71,1211.25,160099
2024-01-22,1218.0,1230.3,1209.63,1220.52,85087
2024-01-23,1217.45,1226.64,1204.76,1226.28,54818
2024-01-24,1241.8,1284.0,1231.74,1254.45,99010
2024-01-25,1279.77,1279.77,1229.12,1229.7,101333
2024-01-26,1212.28,1219.165,1200.94,1204.48,90150
2024-01-29,1212.09,1223.33,1206.05,1217.465,75089
2024-01-30,1224.36,1226.95,1204.29,1208.0,75723
2024-01-31,1185.77,1196.77,1175.23,1179.32,112796
2024-02-01,1189.43,1202.07,1180.06,1199.72,77802
2024-02-02,1208.79,1234.135,1206.71,1223.14,89241
2024-02-05,1232.15,1246.65,1224.71,1243.14,59350
2024-02-06,1258.58,1269.21,1212.885,1222.96,70397
2024-02-07,1234.0,1258.96,1227.205,1256.72,67297
2024-02-08,1267.54,1295.95,1266.61,1275.41,106476
2024-02-09,1248.99,1285.12,1248.99,1282.63,81246
2024-02-12,1288.98,1288.98,1260.37,1265.26,75793
2024-02-13,1233.02,1254.62,1229.19,1252.11,91195
2024-02-14,1270.345,1270.9,1243.03,1260.72,56726
2024-02-15,1275.37,1277.085,1245.55,1265.14,52636
2024-02-16,1272.1,1274.46,1242.77,1245.03,78227
2024-02-20,1231.98,1237.03,1213.3,1227.52,110586
2024-02-21,1209.14,1227.56,1202.655,1226.81,68203
2024-02-22,1282.905,1310.5,1280.69,1304.38,154929
2024-02-23,1308.05,1318.325,1291.07,1295.87,61883
2024-02-26,1309.385,1317.87,1302.635,1308.56,92996
2024-02-27,1310.0,1311.85,1293.54,1296.27,53473
2024-02-28,1289.76,1297.96,1284.465,1290.45,56323
2024-02-29,1305.43,1306.16,1287.275,1298.71,81344
2024-03-01,1324.53,1406.855,1321.98,1398.7,134009
2024-03-04,1404.27,1437.4,1387.535,1402.26,111450
2024-03-05,1390.15,1390.205,1333.68,1342.525,203411
2024-03-06,1382.98,1389.445,1347.93,1350.0,249304
2024-03-07,1383.0,1414.12,1376.66,1405.0,341984
2024-03-08,1394.03,1413.0,1302.32,1309.845,203702
2024-03-11,1275.01,1297.37,1253.96,1293.96,139310
2024-03-12,1306.92,1306.92,1260.105,1290.8,201473
2024-03-13,1276.89,1279.47,1252.95,1257.94,98088
2024-03-14,1262.08,1272.9,1248.845,1264.55,149657
2024-03-15,1266.54,1266.54,1231.04,1235.85,138140
2024-03-18,1253.98,1261.005,1232.15,1236.38,71056
2024-03-19,1216.38,1239.485,1204.695,1237.25,88611
2024-03-20,1232.0,1283.12,1230.01,1276.07,167380
2024-03-21,1328.505,1403.61,1317.935,1347.98,280594
2024-03-22,1348.47,1375.75,1348.205,1354.35,155037
2024-03-25,1346.59,1358.03,1341.23,1350.62,52673
2024-03-26,1359.59,1378.02,1331.155,1331.56,84172
2024-03-27,1342.3,1342.3,1296.545,1319.0,96463
2024-03-28,1317.125,1329.05,1311.57,1325.35,46105
2024-04-01,1329.35,1361.3,1329.35,1349.16,56733
2024-04-02,1317.48,1341.88,1304.0,1339.43,81304
2024-04-03,1326.615,1376.595,1326.615,1366.17,99366
2024-04-04,1387.4,1401.73,1315.83,1317.5,79399
2024-04-05,1327.58,1360.025,1320.075,1338.19,77903
2024-04-08,1330.0,1341.195,1317.02,1336.71,44988
2024-04-09,1349.99,1355.61,1311.56,1334.21,52235
2024-04-10,1324.905,1333.58,1317.98,1321.38,44329
2024-04-11,1327.19,1391.32,1327.19,1382.03,96652
2024-04-12,1355.5,1361.59,1338.91,1345.16,48931
2024-04-15,1365.05,1365.95,1306.84,1311.09,59209
2024-04-16,1314.785,1335.19,1312.0,1328.74,58385
2024-04-17,1342.925,1344.065,1282.31,1282.9,78158
2024-04-18,1285.88,1291.725,1256.335,1259.04,76125
2024-04-19,1254.95,1256.78,1198.235,1203.49,158457
2024-04-22,1223.63,1231.59,1200.54,1224.14,96103
2024-04-23,1237.38,1257.53,1228.865,1247.81,79377
2024-04-24,1266.865,1284.84,1245.72,1257.36,49086
2024-04-25,1263.175,1307.5,1257.47,1294.95,92498
2024-04-26,1304.0,1355.1,1304.0,1342.83,90324
2024-04-29,1347.15,1347.265,1326.135,1338.61,38452
2024-04-30,1335.765,1347.88,1299.06,1299.06,77073
2024-05-01,1279.56,1286.74,1242.14,1242.24,132219
2024-05-02,1259.18,1259.18,1223.77,1237.11,176722
2024-05-03,1256.295,1283.04,1249.995,1278.25,83334
2024-05-06,1284.495,1310.64,1276.31,1310.31,54601
2024-05-07,1312.9,1313.43,1298.64,1303.34,46024
2024-05-08,1293.02,1336.63,1290.92,1325.295,42698
2024-05-09,1318.05,1318.56,1303.39,1306.13,34027
2024-05-10,1333.09,1343.35,1327.22,1331.99,50879
2024-05-13,1345.28,1357.825,1330.83,1338.195,78913
2024-05-14,1337.22,1380.945,1327.33,1379.09,69946
2024-05-15,1377.94,1438.62,1369.975,1436.19,75529
2024-05-16,1428.975,1443.53,1408.82,1412.71,109605
2024-05-17,1414.82,1418.55,1382.97,1394.96,175605
2024-05-20,1397.495,1415.99,1394.65,1415.3,141451
2024-05-21,1397.68,1408.595,1395.17,1398.05,76022
2024-05-22,1397.25,1403.0,1385.14,1393.45,76743
2024-05-23,1423.37,1424.75,1378.19,1394.435,125213
2024-05-24,1399.005,1413.02,1394.86,1407.05,73904
2024-05-28,1411.52,1415.84,1392.995,1412.31,108994
2024-05-29,1392.985,1398.32,1383.62,1389.93,118146
2024-05-30,1380.325,1382.12,1356.18,1364.205,81558
2024-05-31,1361.37,1361.64,1308.03,1330.9,125659
2024-06-03,1351.5,1351.5,1302.74,1320.55,96147
2024-06-04,1318.55,1331.33,1307.5,1331.17,98048
2024-06-05,1344.59,1414.035,1344.495,1413.35,119280
2024-06-06,1419.18,1420.0,1390.64,1400.87,44231
2024-06-07,1407.775,1424.33,1398.38,1406.39,58117
2024-06-10,1409.82,1447.705,1409.82,1441.42,72690
2024-06-11,1435.0,1462.735,1418.935,1461.56,70261
2024-06-12,1497.69,1504.0,1477.85,1494.72,106016
2024-06-13,1711.14,1733.95,1653.59,1679.46,184586
2024-06-14,1689.0,1745.355,1683.14,1735.4,133723
2024-06-17,1799.045,1842.68,1781.09,1829.89,212227
2024-06-18,1837.94,1850.8,1785.01,1802.01,223222
2024-06-20,1803.82,1804.05,1723.03,1733.34,186850
2024-06-21,1696.64,1712.94,1658.18,1658.18,224710
2024-06-24,1644.69,1657.905,1591.235,1591.74,271164
2024-06-25,1599.0,1605.79,1566.015,1580.9,200276
2024-06-26,1596.44,1617.48,1573.93,1592.75,254297
2024-06-27,1589.64,1605.29,1572.405,1586.61,129965
2024-06-28,1590.79,1639.11,1587.01,1600.82,248617
2024-07-01,1612.255,1647.66,1594.42,1640.0,176631
2024-07-02,1639.435,1658.62,1623.33,1658.3,52097
2024-07-03,1672.0,1728.705,1667.31,1727.12,86932
2024-07-05,1761.465,1764.37,1696.725,1703.68,73367
2024-07-08,1709.01,1756.3,1707.44,1744.82,88457
2024-07-09,1756.32,1769.2,1706.91,1732.98,122062
2024-07-10,1746.765,1766.225,1728.73,1743.78,61905
2024-07-11,1764.42,1764.42,1669.885,1706.08,90632
2024-07-12,1706.875,1725.33,1692.16,1698.62,73998
2024-07-15,170.185,173.46,169.335,171.475,503003
2024-07-16,172.215,172.755,166.445,169.385,690757
2024-07-17,162.4,162.45,155.725,155.97,1441348
2024-07-18,158.96,161.51,153.975,160.54,1324602
2024-07-19,161.825,163.88,157.13,157.47,639884
2024-07-22,160.235,162.93,157.9,160.93,605014
2024-07-23,160.275,165.32,160.065,163.7,561113
2024-07-24,160.025,161.405,151.19,151.55,753302
2024-07-25,151.04,153.45,145.64,149.12,785777
2024-07-26,153.49,153.49,149.96,151.8,389967
2024-07-29,152.325,155.0,149.31,150.08,307781
2024-07-30,153.24,153.39,143.36,143.59,762468
2024-07-31,151.13,161.275,151.08,160.64,1339548
2024-08-01,156.98,158.77,146.18,147.1,870945
2024-08-02,141.715,145.11,139.685,143.96,666270
2024-08-05,129.69,145.39,128.67,142.23,1253329
2024-08-06,141.97,148.87,140.34,143.86,686628
